theta2,theta3,theta4,theta5,theta6,Gx,Gy
285,103.965807271913,1.59316120936986,57.222258931693,-15.5671117962775,3.92105800129024,0.607308691505961
290,106.261579904673,-0.307954538249712,58.0054089821442,-17.6370097494021,3.88225504097731,0.503682206306277
295,108.54062471193,-1.81761285961859,58.7875776077755,-19.5038780916559,3.8420390928502,0.411752247475544
300,110.784280670001,-2.90920198188942,59.5666616906797,-21.1372288503461,3.80203279836332,0.332993152854735
305,112.978384678715,-3.56670606726594,60.3461004882174,-22.5155985966099,3.76362493059907,0.268382616058593
310,115.113233615589,-3.78683515510897,61.1337735394592,-23.6278551343941,3.72784864955964,0.218356985797164
315,117.182903220761,-3.57839353682117,61.9398203578985,-24.4728182425494,3.69534191107978,0.182846176652606
320,119.184611287551,-2.96121529354562,62.7754106211971,-25.0584495858275,3.66633800618385,0.161334703563599
325,121.117846254253,-1.96359110756432,63.6515026253666,-25.3999711882156,3.64071582528803,0.152965186528518
330,122.983527098853,-0.619222166200345,64.5779949374739,-25.5175929994696,3.61808108139983,0.156652294295489
335,124.783300741562,1.03568664427625,65.5632538442064,-25.4342869406036,3.59785748755639,0.171187462381511
340,126.519027101562,2.96479154480089,66.6139389102407,-25.1739137709733,3.57937123551681,0.195322624581095
345,128.19244977449,5.13327990512627,67.7350277106958,-24.7598350805088,3.56191947922677,0.227829546034923
350,129.805019113157,7.50887977277501,68.9299504400578,-24.2140053167682,3.54482013636764,0.267537058615007
355,131.357823771608,10.0623406319728,70.2007687139401,-23.5564618311441,3.5274445803584,0.313351164838807
360,132.851589948714,12.7675404093191,71.5483577643499,-22.8051076788049,3.50923667637289,0.364263304811314
